,Unnamed: 0_x,timestamp,datetime,index,bitcoin-transactions,size-btc,sentbyaddress-btc,bitcoin-difficulty,bitcoin-hashrate,bitcoin-price,bitcoin-mining_profitability,sentinusd-btc,bitcoin-transactionfees,bitcoin-median_transaction_fee,bitcoin-confirmationtime,bitcoin-marketcap,transactionvalue-btc,mediantransactionvalue-btc,tweets-btc,google_trends-btc,activeaddresses-btc,top100cap-btc,fee_to_reward-bt,Unnamed: 0_y,Open,High,Low,Close,Volume BTC,Volume USD
0,3089.0,1498003200.0,2017-06-21,3089.0,280063.0,982975.0,430351.0,711697198174.0,4.793357784458e+18,2707.0,1.249,9808732986.0,4.4719999999999995,2.372,10.286,44361471259.0,35391.0,514.696,40215.0,41.917,616138.0,18.125999999999998,20.92,949,2705.1,2764.96,2570.0,2644.97,6435.05,17260582.41
1,3090.0,1498089600.0,2017-06-22,3090.0,269546.0,992495.0,410959.0,711697198174.0,4.7776452868044e+18,2677.0,1.224,8740443532.0,4.44,2.582,10.36,43873283729.0,32427.0,477.977,37617.0,41.917,609732.0,18.116,20.475,948,2644.97,2735.31,2588.55,2684.99,4814.94,12835957.05
2,3091.0,1498176000.0,2017-06-23,3091.0,259778.0,948797.0,387556.0,711697198174.0,5.636145137231e+18,2710.0,1.124,6502284152.0,3.535,2.218,9.0,44417204342.0,25030.0,383.101,42760.0,40.942,608551.0,18.085,14.5,947,2684.99,2725.0,2660.11,2668.0,3465.72,9350270.21
3,3092.0,1498262400.0,2017-06-24,3092.0,226981.0,949756.0,356744.0,711697198174.0,5.0844763683852e+18,2654.0,1.113,5978325867.0,3.592,2.286,9.863,43515995716.0,26338.0,399.656,,38.018,562893.0,18.096,14.415999999999999,946,2668.0,2701.79,2500.0,2547.43,4386.08,11383430.44
4,3093.0,1498348800.0,2017-06-25,3093.0,180597.0,927642.0,292693.0,711697198174.0,5.1202268546279e+18,2567.0,0.895,4792079812.0,3.677,2.1109999999999998,11.802999999999999,42087743668.0,26535.0,441.411,,35.093,455780.0,18.134,14.511,945,2547.43,2601.53,2408.0,2490.13,5289.42,13309534.46
5,3094.0,1498435200.0,2017-06-26,3094.0,261764.0,987141.0,407713.0,711697198174.0,4.4799497939838e+18,2472.0,1.185,9338181351.0,3.542,2.171,10.141,40535475897.0,36022.0,488.04,,44.841,587642.0,18.129,17.452,944,2490.13,2535.78,2210.0,2405.0,9794.36,23546657.57
6,3095.0,1498521600.0,2017-06-27,3095.0,259606.0,989866.0,435835.0,711697198174.0,4.9245066391263e+18,2409.0,0.981,6670825104.0,3.415,2.117,10.992,39515260814.0,25784.0,385.17199999999997,,48.74,585419.0,18.053,18.352999999999998,943,2405.0,2540.05,2257.01,2538.01,9157.09,21861457.64
7,3096.0,1498608000.0,2017-06-28,3096.0,279654.0,972504.0,435927.0,711697198174.0,5.0936446390741e+18,2524.0,1.1640000000000001,7123554064.0,3.483,2.218,9.172,41402209041.0,25473.0,452.154,,47.766000000000005,632364.0,18.022000000000002,16.439,942,2538.01,2600.0,2444.44,2554.02,7932.07,20069959.48
8,3097.0,1498694400.0,2017-06-29,3097.0,230934.0,966754.0,378011.0,711697198174.0,4.9977506307755e+18,2545.0,0.937,8104696773.0,3.762,2.237,12.0,41739305928.0,35095.0,571.151,,40.942,519741.0,17.92,18.548,941,2554.02,2580.0,2498.0,2526.07,5460.02,13914613.03
9,3098.0,1498780800.0,2017-06-30,3098.0,267206.0,956231.0,415868.0,711697198174.0,4.739194405088e+18,2513.0,1.21,8727305414.0,3.359,2.147,9.351,41222833121.0,32823.0,375.665,,33.143,608065.0,17.894000000000002,15.658,940,2526.07,2547.95,2419.24,2445.0,5521.11,13826141.38
10,3099.0,1498867200.0,2017-07-01,3099.0,221692.0,882650.0,334799.0,711697198174.0,5.7662792641923e+18,2447.0,0.978,5664015268.0,2.818,1.7719999999999998,8.78,40152801092.0,25549.0,413.786,,31.989,553869.0,17.941,11.081,939,2445.0,2500.0,2364.01,2392.95,5290.93,12868426.38
11,3100.0,1498953600.0,2017-07-02,3100.0,196351.0,779501.0,304664.0,708707940676.0,6.2663124973869e+18,2431.0,0.988,4369087195.0,2.45,1.6480000000000001,7.66,39889234300.0,22251.0,339.233,,33.573,522589.0,17.953,7.773,938,2392.95,2525.0,2344.0,2505.57,5868.42,14325437.84
