,Unnamed: 0,timestamp,datetime,index,ethereum-transactions,size-eth,sentbyaddress-eth,ethereum-difficulty,ethereum-hashrate,ethereum-price,ethereum-mining_profitability,sentinusd-eth,ethereum-transactionfees,ethereum-median_transaction_fee,ethereum-confirmationtime,ethereum-marketcap,transactionvalue-eth,mediantransactionvalue-eth,tweets-eth,google_trends-eth,activeaddresses-eth,top100cap-eth,fee_to_reward-eth,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
0,691.0,1498003200.0,2017-06-21,691.0,221289.0,6195.0,90089.0,874308762317610.0,54098240797200.0,332.819,0.16699999999999998,1921728111.0,1.374,0.419,0.294,30847231354.0,8684.0,334.861,13789.0,25.613000000000003,157201.0,,3.168,ETHUSD,348.5,353.12,288.0,324.48,102585.51,32417511.01
1,692.0,1498089600.0,2017-06-22,692.0,284225.0,8691.0,89360.0,872419319204180.0,54738964742491.0,323.786,0.161,2731970142.0,0.78,0.34,0.29100000000000004,30018614957.0,9612.0,120.106,12631.0,25.008000000000006,206732.0,,2.426,ETHUSD,324.48,330.0,307.42,321.6,54126.39,17387776.64
2,693.0,1498176000.0,2017-06-23,693.0,276012.0,9123.0,82559.0,881532422539620.0,54336704373890.0,327.726,0.16,3330750492.0,0.5579999999999999,0.344,0.294,30392440565.0,12067.0,98.019,14903.0,20.483,202672.0,,1.705,ETHUSD,321.6,330.13,316.44,325.5,32306.69,10544897.48
3,694.0,1498262400.0,2017-06-24,694.0,250570.0,8935.0,77939.0,888679962204642.0,55693605003757.0,320.166,0.156,3627575265.0,0.818,0.336,0.292,29699835293.0,14477.0,99.252,,16.320999999999998,180583.0,,2.072,ETHUSD,325.5,329.79,296.0,302.15,38567.49,12042703.0
4,695.0,1498348800.0,2017-06-25,695.0,231135.0,8979.0,68879.0,904653518657220.0,56393524710369.0,297.108,0.141,1207162076.0,0.529,0.25,0.292,27568736913.0,5223.0,61.426,,19.916,155887.0,,1.481,ETHUSD,302.15,308.23,250.02,277.0,111542.6,31008098.78
5,696.0,1498435200.0,2017-06-26,696.0,316788.0,9544.0,102449.0,923853229184680.0,58417112349132.0,260.585,0.123,2759723329.0,0.72,0.204,0.29,24186686634.0,8712.0,132.76,,27.11,237497.0,,1.861,ETHUSD,277.0,287.0,203.0,254.49,233443.01,56562067.2
6,697.0,1498521600.0,2017-06-27,697.0,252995.0,7911.0,82094.0,930359199332390.0,58320978141848.0,244.551,0.113,2855159102.0,0.321,0.19,0.28800000000000003,22704977700.0,11285.0,54.773,,22.623,182501.0,,1.195,ETHUSD,254.49,284.0,208.75,283.66,174778.25,42459823.91
7,698.0,1498608000.0,2017-06-28,698.0,274241.0,10005.0,,950061337460530.0,59938051087500.0,289.259,0.132,3051771161.0,0.816,0.282,0.29,26863541743.0,11128.0,47.199,,19.674,188476.0,,2.008,ETHUSD,283.66,324.5,260.0,316.2,167137.57,48790859.78
8,699.0,1498694400.0,2017-06-29,699.0,263791.0,9460.0,77162.0,962749040901500.0,61540789098593.0,305.994,0.13699999999999998,3417165510.0,0.541,0.225,0.28600000000000003,28425917058.0,12954.0,54.791,,16.282,182877.0,,1.631,ETHUSD,316.2,323.9,285.0,293.0,101718.59,30802239.84
9,700.0,1498780800.0,2017-06-30,700.0,252652.0,8800.0,75721.0,972009000387640.0,61649495641450.0,291.897,0.129,2907912862.0,0.407,0.134,0.28600000000000003,27124206784.0,11510.0,58.487,,13.533,177613.0,,1.236,ETHUSD,293.0,305.0,267.5,280.0,91097.72,26175265.73
